name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,gameAgeDays,revenuePerCopy
Sacred X：Heavens Wonderland,2024-09-05,33358,0.0,311127.0,15.218051665922731,77,Indie,Sacred X：Heavens Wonderland,Sacred X：Heavens Wonderland,2857890,4,9.32690808801487
Songs of Silence,2024-04-06,9658,39.99,310683.0,8.54394550155806,0,Indie,"Chimera Entertainment,H2 Interactive (Korea and Japan)",Chimera Entertainment,2195410,156,32.16846137916753
Northend Tower Defense,2024-04-09,64646,7.99,308936.0,4.689085364892894,82,Indie,"Northend Games,Gamersky Games",Northend Games,1669170,153,4.778888098258206
反转21克,2024-01-02,46368,8.99,294934.0,11.705099196192378,76,Indie,想象颗粒,想象颗粒,2685620,251,6.3607229123533475
The Saboteur™,2024-07-03,53376,9.99,290153.0,12.83074271799272,92,AAA,Electronic Arts,Pandemic Studios,24880,68,5.436019934052758
New Star GP,2024-07-03,16009,29.99,286736.0,8.869371110870562,0,Indie,Five Aces Publishing Ltd.,New Star Games Ltd.,2217580,68,17.910925104628646
Factory Town Idle,2024-08-01,74350,4.99,284695.0,39.89461498709381,91,Indie,Erik Asmussen,Erik Asmussen,2207490,39,3.829119031607263
Our Adventurer Guild,2024-12-04,23699,14.99,284501.0,39.46176078042124,100,Indie,GreenGuy,GreenGuy,2026000,-86,12.004768133676526
Fantasy Map Simulator,2024-04-09,43880,7.99,283947.0,2.402464122744893,0,Indie,The Stranger,The Stranger,3035500,153,6.470989061075661
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,2024-07-08,6298,49.99,283353.0,8.587601388172795,50,AA,Bandai Namco Entertainment Inc.,"ZOC Co.,Ltd.",2197680,63,44.99094950778025
LoveXLust,2024-06-09,10749,34.99,280098.0,1.939318005493168,72,Indie,CTM,CTM,2647060,92,26.058051911805748
My Recycling Center,2024-01-02,20320,14.99,279126.0,16.77815428837053,0,Indie,Darius Bode,Darius Bode,2613060,251,13.736515748031495
Revival: Recolonization,2024-11-04,11698,29.99,274280.0,7.034563470064829,84,Indie,HeroCraft PC,HeroCraft PC,1306770,-56,23.446743032997095
Anomaly Collapse,2024-11-04,16403,19.99,272494.0,14.25436172637584,84,Indie,RocketPunch Games,RocketPunch Games,2082410,-56,16.61244894226666
My Island,2024-01-05,42250,14.99,271974.0,6.532271264036645,68,Indie,SnowBaby Games,SnowBaby Games,1004270,248,6.437254437869822
Sixty Four,2024-04-03,50062,5.99,267621.0,18.30170091618245,0,Indie,Playsaurus,Oleg Danilov,2659900,159,5.3457912188885786
Dice Kingdoms,2024-05-04,20598,14.99,264059.0,12.996371134038808,89,Indie,Fivemid Studio,Fivemid Studio,1501690,128,12.819642683755704
HELLDIVERS™ 2,2024-08-02,11905198,39.99,435635596.0,39.2059601690564,71,AAA,PlayStation Publishing LLC,Arrowhead Game Studios,553850,38,36.592049624038175
V Rising,2024-08-05,4784609,34.99,83614738.0,32.69529338148719,0,AA,Stunlock Studios,Stunlock Studios,1604030,35,17.47577241943908
Hades II,2024-06-05,1582696,29.99,42718547.0,22.847145780597383,0,AA,Supergiant Games,Supergiant Games,1145350,96,26.990999534970708
Persona 3 Reload,2024-01-02,612576,69.99,34601865.0,35.384946285028754,95,AA,SEGA,ATLUS,2161700,251,56.48583196207491
Once Human,2024-09-07,5709407,0.0,34530561.0,42.261045196968674,72,Indie,Starry Studio,Starry Studio,2139460,2,6.048011816288452
The Outlast Trials,2024-05-03,1230011,39.99,30878209.0,24.44136754786277,94,AA,Red Barrels,Red Barrels,1304930,129,25.104010451939047
The Planet Crafter,2024-10-04,1381487,23.99,21286732.0,28.17299459798124,97,Indie,Miju Games,Miju Games,1284190,-25,15.408564829057385
Bodycam,2024-07-06,632326,33.32,17732078.0,8.028879614183062,74,Indie,Reissad Studio,Reissad Studio,2406770,65,28.04262042047931
Firestone: Online Idle RPG,2024-01-04,335093,0.0,15689364.148647271,296.3328524525871,79,Indie,Holyday Studios,Holyday Studios,1013320,249,46.82092478400704
NBA 2K25,2024-03-09,171817,69.99,10822924.0,9.623975638287607,47,AAA,2K,Visual Concepts,2878980,184,62.99099623436563
Summoners War,2024-07-01,540801,0.0,10787342.0,112.85633956732288,0,Indie,Com2uS,Com2uS,2426960,70,19.94697125190227
Abiotic Factor,2024-02-05,520841,24.99,10501115.0,18.452732943062458,96,Indie,Playstack,Deep Field Games,427410,217,20.161844017656062
Suicide Squad: Kill the Justice League,2024-02-02,174510,69.99,9602451.0,15.856901582942724,72,AAA,Warner Bros. Games,Rocksteady Studios,315210,220,55.02521918514698
Content Warning,2024-01-04,1448054,7.99,9426045.0,8.945764643641505,95,AA,Landfall,"thePetHen,Skog,Zorro,Wilnyl,Philip",2881650,249,6.509456829648618
UBOAT,2024-02-08,600124,29.99,9013215.0,31.07835947660008,82,AA,PlayWay S.A.,Deep Water Studio,494840,214,15.018921089641474
Infection Free Zone,2024-11-04,452146,24.99,8739530.0,14.494431536608284,73,Indie,Games Operators,Jutsu Games,1465460,-56,19.32899992480305
Dark and Darker,2024-07-06,2640903,0.0,8706135.0,31.97402719520565,74,Indie,IRONMACE,IRONMACE,2016590,65,3.296650804667949
